year,university,department,admission_type,track_name
2026,DGIST,기초학부,학생부종합,일반전형
2026,DGIST,반도체공학과(학석사통합),학생부종합,일반전형
2026,DGIST,기초학부,학생부종합,학교장추천전형
2026,DGIST,반도체공학과(학석사통합),학생부종합,학교장추천전형
2026,DGIST,기초학부,학생부종합,고른기회전형
2026,DGIST,기초학부,실기/실적,과학인재전형
2026,GIST,단일계열,학생부종합,일반전형
2026,GIST,반도체공학과(학석사통합),학생부종합,일반전형(외)
2026,GIST,단일계열,학생부종합,학교장추천전형
2026,GIST,단일계열,학생부종합,고른기회전형
2026,GIST,단일계열,학생부종합,특기자전형
2026,KAIST,단일계열,학생부종합,창의도전전형
2026,KAIST,단일계열,학생부종합,학교장추천전형
2026,KAIST,반도체공학과(외),학생부종합,반도체시스템인재전형 I
2026,KAIST,단일계열,학생부종합,일반전형
2026,KAIST,반도체공학과(외),학생부종합,반도체시스템인재전형 II
2026,KAIST,단일계열,학생부종합,고른기회전형
2026,KAIST,단일계열,학생부종합,특기자전형
2026,KENTECH,에너지공학부,학생부종합,일반전형
2026,KENTECH,에너지공학부,학생부종합,고른기회전형(외)
2026,POSTECH,단일계열,학생부종합,일반전형 I
2026,POSTECH,단일계열,학생부종합,일반전형 II
2026,POSTECH,단일계열,학생부종합,기회균형 지역인재전형
2026,POSTECH,단일계열,학생부종합,기회균형저소득층전형
2026,POSTECH,단일계열,학생부종합,기회균형통합전형
2026,POSTECH,반도체공학과(계약학과),학생부종합,반도체공학인재전형
2026,UNIST,이공계열,학생부종합,일반전형
2026,UNIST,경영계열,학생부종합,일반전형
2026,UNIST,반도체공학과(외),학생부종합,일반전형
2026,UNIST,이공계열,학생부종합,지역인재전형
2026,UNIST,경영계열,학생부종합,지역인재전형
2026,UNIST,이공계열,학생부종합,탐구우수전형
2026,UNIST,이공계열,학생부종합,고른기회전형(외)
2026,가야대학교,특수교육과 (초등특수전공),학생부교과,일반학생
2026,가야대학교,사회복지상담학과,학생부교과,일반학생
2026,가야대학교,치유웰니스학과,학생부교과,일반학생
2026,가야대학교,방사선학과,학생부교과,일반학생
2026,가야대학교,간호학과,학생부교과,일반학생
2026,가야대학교,물리치료학과,학생부교과,일반학생
2026,가야대학교,스포츠재활복지학과,학생부교과,일반학생
2026,가야대학교,자유전공학부,학생부교과,일반학생
2026,가야대학교,간호학과,학생부교과,가야인재전형
2026,가야대학교,물리치료학과,학생부교과,가야인재전형
2026,가야대학교,간호학과,학생부교과,지역인재전형
2026,가야대학교,물리치료학과,학생부교과,지역인재전형
2026,가야대학교,간호학과,학생부교과,기초생활수급자전형
2026,가야대학교,간호학과,학생부교과,농어촌학생전형(외)
2026,가야대학교,간호학과,학생부교과,특성화고교졸업자전형(외)
2026,가야대학교,간호학과,학생부교과,기초생활수급자전형(외)
2026,가야대학교,물리치료학과,학생부교과,기초생활수급자전형(외)
2026,가천대학교,경영학과,논술,논술전형
2026,가천대학교,회계세무학과,논술,논술전형
2026,가천대학교,관광경영학과,논술,논술전형
2026,가천대학교,의료산업경영학과,논술,논술전형
2026,가천대학교,"금융빅데이터학부(금융수학,빅데이터경영)",논술,논술전형
2026,가천대학교,미디어커뮤니케이션학과,논술,논술전형
2026,가천대학교,경제학과,논술,논술전형
2026,가천대학교,응용통계학과,논술,논술전형
2026,가천대학교,사회복지학과,논술,논술전형
2026,가천대학교,유아교육학과,논술,논술전형
2026,가천대학교,심리학과,논술,논술전형
2026,가천대학교,패션산업학과,논술,논술전형
2026,가천대학교,"AI인문대학(한국어문,영미영문,중국어문, 일본어문,유럽어문)",논술,논술전형
2026,가천대학교,"법과대학(법학,경찰행정,행정)",논술,논술전형
2026,가천대학교,도시계획조경학부,논술,논술전형
2026,가천대학교,건축학부,논술,논술전형
2026,가천대학교,건축공학과,논술,논술전형
2026,가천대학교,화공생명배터리공학부,논술,논술전형
2026,가천대학교,"기계공학부 (기계공학,산업공학,설비소방공학)",논술,논술전형
2026,가천대학교,스마트팩토리학과,논술,논술전형
